curso_academico,media_expediente_bach,media_pau_fase_general,fuente_segun_centro,pagina_fuente
2013-14,,7.34,Comunidad de Madrid,F002 p.5
2014-15,,6.97,Comunidad de Madrid,F002 p.5
2015-16,,6.8,Comunidad de Madrid,F002 p.5
2016-17,,7.1,Comunidad de Madrid,F002 p.5
2017-18,,7.19,Comunidad de Madrid,F002 p.5
2018-19,7.75,7.55,Centro,F002 p.5
2019-20,7.31,7.25,Centro,F002 p.5
2020-21,7.75,7.48,Centro,F002 p.5
2021-22,7.65,7.27,Centro,F002 p.5
2022-23,7.74,7.8,Centro,F002 p.5
2023-24,7.56,7.38,Centro,F002 p.5
2024-25,8.07,7.672,Centro,F002 p.5 (p.2: 8.07 y 7.67)
2025-26,7.68,7.41,Centro,F003 (Media Bachillerato y Media PAU sobre 10)
