curso_academico,ambito,idoneidad_12_pct,idoneidad_13_pct,idoneidad_14_pct,idoneidad_15_pct,fuente
2014-15,Comunidad de Madrid,84.9,78.6,73.4,66.7,F013
2015-16,Comunidad de Madrid,85.8,79.5,74.2,68.0,F013
2016-17,Comunidad de Madrid,84.1,80.1,75.3,68.3,F013
2017-18,Comunidad de Madrid,84.8,79.0,74.7,69.3,F013
2018-19,Comunidad de Madrid,83.7,79.6,74.5,69.4,F013
2019-20,Comunidad de Madrid,84.5,79.7,75.2,69.6,F013
2020-21,Comunidad de Madrid,84.9,83.0,78.6,74.7,F013
2021-22,Comunidad de Madrid,86.0,81.9,78.3,73.3,F013
2022-23,Comunidad de Madrid,86.3,81.8,77.2,73.1,F013
2023-24,Comunidad de Madrid,87.7,81.8,77.4,73.1,F013
2014-15,DAT Madrid-Oeste,90.8,86.5,83.1,76.9,F013
2015-16,DAT Madrid-Oeste,91.5,87.5,83.5,78.3,F013
2016-17,DAT Madrid-Oeste,89.5,88.9,85.2,79.4,F013
2017-18,DAT Madrid-Oeste,89.7,86.5,83.5,78.7,F013
2018-19,DAT Madrid-Oeste,90.0,88.1,84.8,80.4,F013
2019-20,DAT Madrid-Oeste,90.2,87.6,84.6,79.7,F013
2020-21,DAT Madrid-Oeste,89.4,89.0,87.1,84.1,F013
2021-22,DAT Madrid-Oeste,91.4,88.5,86.7,83.1,F013
2022-23,DAT Madrid-Oeste,91.5,88.8,85.5,81.6,F013
2023-24,DAT Madrid-Oeste,92.8,89.3,86.4,81.9,F013
2014-15,Torrelodones (municipio),92.6,87.2,86.8,81.0,F013
2015-16,Torrelodones (municipio),92.8,89.4,84.7,82.8,F013
2016-17,Torrelodones (municipio),93.6,91.1,86.3,80.6,F013
2017-18,Torrelodones (municipio),85.4,91.1,88.4,77.8,F013
2018-19,Torrelodones (municipio),93.1,90.6,89.2,86.4,F013
2019-20,Torrelodones (municipio),92.0,88.6,88.8,83.8,F013
2020-21,Torrelodones (municipio),95.5,92.1,88.2,87.7,F013
2021-22,Torrelodones (municipio),93.7,94.2,88.5,85.5,F013
2022-23,Torrelodones (municipio),94.7,93.1,89.8,85.7,F013
2023-24,Torrelodones (municipio),94.0,94.7,90.8,85.6,F013
