curso_academico,pct_aptos_diego_velazquez,fuente_centro,pct_aptos_comunidad_madrid,fuente_cm,brecha_pp
2013-14,96.14,F002 p.4,94.15,F002 p.4 (dato CM publicado por el centro),1.99
2014-15,97.87,F002 p.4,93.83,F002 p.4 (dato CM publicado por el centro),4.04
2015-16,96.69,F002 p.4,94.16,F002 p.4 (dato CM publicado por el centro),2.53
2016-17,94.04,F002 p.4,91.53,F002 p.4 (dato CM publicado por el centro),2.51
2017-18,97.02,F002 p.4,92.97,F002 p.4 (dato CM publicado por el centro),4.05
2018-19,97.20,F002 p.4,92.69,F009 p.5,4.51
2019-20,93.10,F002 p.4,91.50,F009 p.5,1.60
2020-21,97.00,F002 p.4,94.49,F009 p.5,2.51
2021-22,96.00,F002 p.4,94.04,F009 p.5,1.96
2022-23,99.40,F002 p.4,96.24,F009 p.5,3.16
2023-24,99.30,F002 p.4,96.19,F009 p.5,3.11
2024-25,95.80,F002 p.4,95.16,F009 p.5 (el centro publica 95.5 en F002 p.4),0.64
2025-26,97.10,F003,94.73,F009 p.5,2.37
